# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
23 0.6342460001 53 25

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.0159271,-29.46282083,10.97935958,-2800,-29.77234596,11.13664572,-2814.43484,0.01007790153,23,1,13,R134aDet,0
21.06409129,-29.77234596,11.13664572,-2814.43484,-30.21370538,11.36099777,-2835.012045,0.01289926341,23,1,13,R134aDet,0
21.13275048,-30.21370538,11.36099777,-2835.012045,-31.07667774,11.79960433,-2875.250385,0.02354616746,23,1,13,R134aDet,0
21.26701225,-31.07667774,11.79960433,-2875.250385,-32.18921105,12.36524999,-2927.169242,0.03374591839,23,1,13,R134aDet,0
21.44024787,-32.18921105,12.36524999,-2927.169242,-33.45570403,13.01005974,-2986.294019,0.04243391359,23,1,13,R134aDet,0
21.63752721,-33.45570403,13.01005974,-2986.294019,-33.7963639,13.18300991,-3002.191764,0.008188723854,23,1,13,R134aDet,0
21.69057258,-33.7963639,13.18300991,-3002.191764,-34.84911765,13.71811084,-3051.320258,0.03545641183,23,1,13,R134aDet,0
21.85449771,-34.84911765,13.71811084,-3051.320258,-35.77751606,14.18974698,-3094.65039,0.03018462686,23,1,13,R134aDet,0
21.99907565,-35.77751606,14.18974698,-3094.65039,-36.20452198,14.40667598,-3114.563794,0.01031169654,23,1,13,R134aDet,0
22.06551995,-36.20452198,14.40667598,-3114.563794,-37.41459217,15.02114175,-3170.957186,0.02875790108,23,1,13,R134aDet,0
22.25368571,-37.41459217,15.02114175,-3170.957186,-38.03728476,15.33780798,-3200,0.01472816139,23,1,13,R134aDet,0
22.68425789,-40.18084373,16.42641906,-3300,-40.38759044,16.53134594,-3309.65226,0.004942759344,23,1,13,R134aDet,1
22.7164642,-40.38759044,16.53134594,-3309.65226,-41.93431137,17.31640492,-3381.838008,0.04652099957,23,1,13,R134aDet,1
22.95732352,-41.93431137,17.31640492,-3381.838008,-42.00201287,17.35066377,-3384.994593,0.001768643652,23,1,13,R134aDet,1
22.96785597,-42.00201287,17.35066377,-3384.994593,-43.31949332,18.01749038,-3446.430958,0.03794261093,23,1,13,R134aDet,1
23.17284828,-43.31949332,18.01749038,-3446.430958,-45.04989386,18.89494212,-3527.168876,0.04630709907,23,1,13,R134aDet,1
23.44224329,-45.04989386,18.89494212,-3527.168876,-45.17097457,18.95645776,-3532.829284,0.002927401156,23,1,13,R134aDet,1
23.46113013,-45.17097457,18.95645776,-3532.829284,-45.24830937,18.99577261,-3536.445412,0.002802100896,23,1,13,R134aDet,1
23.47319591,-45.24830937,18.99577261,-3536.445412,-45.44329479,19.09488414,-3545.562538,0.005217293667,23,1,13,R134aDet,1
23.50361663,-45.44329479,19.09488414,-3545.562538,-46.35713427,19.55954231,-3588.296606,0.03012125114,23,1,13,R134aDet,1
23.64620557,-46.35713427,19.55954231,-3588.296606,-46.84341792,19.80695136,-3611.02822,0.01283714139,23,1,13,R134aDet,1
23.72205319,-46.84341792,19.80695136,-3611.02822,-47.71538344,20.25084734,-3651.799746,0.0261498439,23,1,13,R134aDet,1
23.85809382,-47.71538344,20.25084734,-3651.799746,-48.55637514,20.67878207,-3691.088824,0.02470489006,23,1,13,R134aDet,1
23.98918809,-48.55637514,20.67878207,-3691.088824,-48.74715096,20.77582224,-3700,0.006861655147,23,1,13,R134aDet,1
23.98918809,-48.55637514,20.67878207,-3691.088824,-48.37519264,20.49223875,-3691.119167,0.008973603118,23,166,11,R134aDet,1
23.85809382,-47.71538344,20.25084734,-3651.799746,-47.62685698,20.80171477,-3651.860095,0.01365375889,23,165,11,R134aDet,1
23.72205319,-46.84341792,19.80695136,-3611.02822,-46.81620525,19.79474361,-3611.030448,0.002621708231,23,164,11,R134aDet,1
23.64620557,-46.35713427,19.55954231,-3588.296606,-46.36356923,19.54867073,-3588.297081,0.001560524838,23,163,11,R134aDet,1
