# eventID  Edep_gas_total[MeV]  Nsteps_in_gas  Ntracks_in_gas
1 1.900849705 152 73

t0[ns],x0[mm],y0[mm],z0[mm],x1[mm],y1[mm],z1[mm],Edep[MeV],event_id,track_id,pdg,volume_name,volume_copyNo
21.0169595,40.66634741,17.24716699,-2800,43.61349315,18.06906273,-2887.977087,0.04875258167,1,1,13,R134aDet,0
21.3106023,43.61349315,18.06906273,-2887.977087,43.9033606,18.1498522,-2896.631092,0.004447868672,1,1,13,R134aDet,0
21.33948693,43.9033606,18.1498522,-2896.631092,45.89773737,18.70619714,-2956.180642,0.03718199646,1,1,13,R134aDet,0
21.53824655,45.89773737,18.70619714,-2956.180642,47.24364671,19.08218912,-2996.372377,0.02231230555,1,1,13,R134aDet,0
21.67239523,47.24364671,19.08218912,-2996.372377,48.53261489,19.44189617,-3034.861124,0.02751435855,1,1,13,R134aDet,0
21.80085982,48.53261489,19.44189617,-3034.861124,48.85933746,19.53298161,-3044.618751,0.003725566392,1,1,13,R134aDet,0
21.83342802,48.85933746,19.53298161,-3044.618751,49.83854899,19.80600262,-3073.859674,0.02310072603,1,1,13,R134aDet,0
21.93102596,49.83854899,19.80600262,-3073.859674,49.91517575,19.82739227,-3076.148083,0.0004768546848,1,1,13,R134aDet,0
21.93866403,49.91517575,19.82739227,-3076.148083,50.27656754,19.92833604,-3086.939529,0.005848689309,1,1,13,R134aDet,0
21.97468283,50.27656754,19.92833604,-3086.939529,50.42311394,19.96925713,-3091.314689,0.001888359528,1,1,13,R134aDet,0
21.98928589,50.42311394,19.96925713,-3091.314689,50.8063836,20.07634405,-3102.75681,0.007998022731,1,1,13,R134aDet,0
22.02747648,50.8063836,20.07634405,-3102.75681,51.46890101,20.26154613,-3122.536358,0.01216350167,1,1,13,R134aDet,0
22.09349506,51.46890101,20.26154613,-3122.536358,52.95431487,20.67693724,-3166.900486,0.03830614799,1,1,13,R134aDet,0
22.24157,52.95431487,20.67693724,-3166.900486,54.06220634,20.98706497,-3200,0.01668643556,1,1,13,R134aDet,0
22.68581839,57.40837214,21.92440489,-3300,57.93142657,22.0708595,-3315.636349,0.01132393377,1,1,13,R134aDet,1
22.73800806,57.93142657,22.0708595,-3315.636349,59.20247367,22.42706549,-3353.628611,0.02483238692,1,1,13,R134aDet,1
22.86481542,59.20247367,22.42706549,-3353.628611,59.87101186,22.6144847,-3373.600021,0.01514834693,1,1,13,R134aDet,1
22.93147434,59.87101186,22.6144847,-3373.600021,59.93137291,22.6314104,-3375.403499,0.000852800405,1,1,13,R134aDet,1
22.93749384,59.93137291,22.6314104,-3375.403499,61.36005375,23.03157779,-3418.083582,0.025319034,1,1,13,R134aDet,1
23.0799479,61.36005375,23.03157779,-3418.083582,61.37461839,23.03566937,-3418.518905,0.0001739202153,1,1,13,R134aDet,1
23.08140088,61.37461839,23.03566937,-3418.518905,61.69973347,23.12702591,-3428.236512,0.00595796917,1,1,13,R134aDet,1
23.1138355,61.69973347,23.12702591,-3428.236512,64.2476271,23.84308385,-3504.385201,0.05169285988,1,1,13,R134aDet,1
23.36799824,64.2476271,23.84308385,-3504.385201,64.67040673,23.96178488,-3517.014005,0.01518345329,1,1,13,R134aDet,1
23.41014963,64.67040673,23.96178488,-3517.014005,65.61335494,24.22669177,-3545.172389,0.01462019709,1,1,13,R134aDet,1
23.50413443,65.61335494,24.22669177,-3545.172389,66.647275,24.51733416,-3576.050419,0.01612738403,1,1,13,R134aDet,1
23.60719663,66.647275,24.51733416,-3576.050419,70.79721455,25.68592037,-3700,0.07590422998,1,1,13,R134aDet,1
23.60719663,66.647275,24.51733416,-3576.050419,66.66681692,24.51178284,-3576.050734,0.002085578447,1,187,11,R134aDet,1
23.50413443,65.61335494,24.22669177,-3545.172389,65.51593386,24.1159586,-3545.188537,0.006546548039,1,186,11,R134aDet,1
23.41014963,64.67040673,23.96178488,-3517.014005,64.65574035,23.96641115,-3517.015093,0.001763581541,1,185,11,R134aDet,1
23.36799824,64.2476271,23.84308385,-3504.385201,64.25755598,23.83707387,-3504.385367,0.001480292372,1,184,11,R134aDet,1
23.1138355,61.69973347,23.12702591,-3428.236512,61.7097806,23.13513669,-3428.236608,0.001581073405,1,183,11,R134aDet,1
23.08140088,61.37461839,23.03566937,-3418.518905,61.37890327,23.02348769,-3418.519385,0.00158178966,1,182,11,R134aDet,1
23.0799479,61.36005375,23.03157779,-3418.083582,61.41121442,23.0612282,-3418.085241,0.003899522178,1,181,11,R134aDet,1
22.93749384,59.93137291,22.6314104,-3375.403499,59.46888829,23.50998118,-3375.549547,0.008023603791,1,180,11,R134aDet,1
22.94983342,59.46888829,23.50998118,-3375.549547,59.31235307,23.70174457,-3375.780516,0.01033783252,1,180,11,R134aDet,1
22.94983342,59.46888829,23.50998118,-3375.549547,59.46738126,23.50000748,-3375.556877,0.001547298705,1,200,11,R134aDet,1
22.93147434,59.87101186,22.6144847,-3373.600021,59.88457232,22.61116909,-3373.60016,0.001659082763,1,179,11,R134aDet,1
22.86481542,59.20247367,22.42706549,-3353.628611,57.15286324,22.925916,-3354.081672,0.009123550643,1,178,11,R134aDet,1
22.8854273,57.15286324,22.925916,-3354.081672,57.11854176,22.59804877,-3355.497321,0.009058365826,1,178,11,R134aDet,1
22.90143169,57.11854176,22.59804877,-3355.497321,57.49373608,22.54405042,-3356.146276,0.009302893148,1,178,11,R134aDet,1
22.91164117,57.49373608,22.54405042,-3356.146276,57.38108343,22.62704673,-3356.224467,0.006835539893,1,178,11,R134aDet,1
22.73800806,57.93142657,22.0708595,-3315.636349,57.91509493,22.05242926,-3315.63825,0.002342584593,1,177,11,R134aDet,1
22.24157,52.95431487,20.67693724,-3166.900486,52.93304598,20.68937679,-3166.902264,0.002342877252,1,176,11,R134aDet,0
22.09349506,51.46890101,20.26154613,-3122.536358,51.50803483,20.21194285,-3122.53949,0.004051874178,1,175,11,R134aDet,0
22.02747648,50.8063836,20.07634405,-3102.75681,50.84637826,19.85895099,-3102.777314,0.008191999107,1,174,11,R134aDet,0
21.98928589,50.42311394,19.96925713,-3091.314689,50.41815895,19.95651043,-3091.315523,0.0016400069,1,173,11,R134aDet,0
21.97468283,50.27656754,19.92833604,-3086.939529,50.33997256,19.87303927,-3086.943664,0.004764635605,1,172,11,R134aDet,0
21.93866403,49.91517575,19.82739227,-3076.148083,49.60509408,19.2870568,-3076.241087,0.006561341784,1,171,11,R134aDet,0
21.94732962,49.60509408,19.2870568,-3076.241087,49.5297182,19.4157267,-3076.132461,0.00739286536,1,171,11,R134aDet,0
21.94732962,49.60509408,19.2870568,-3076.241087,49.59102952,19.28179086,-3076.244517,0.001762708399,1,201,11,R134aDet,0
21.93102596,49.83854899,19.80600262,-3073.859674,49.84716666,19.7417796,-3073.864112,0.001941352362,1,170,11,R134aDet,0
21.93273862,49.84716666,19.7417796,-3073.864112,49.86680743,19.75204873,-3073.864383,0.00219694096,1,170,11,R134aDet,0
21.83342802,48.85933746,19.53298161,-3044.618751,48.86041055,19.52179702,-3044.619244,0.001451698139,1,169,11,R134aDet,0
21.80085982,48.53261489,19.44189617,-3034.861124,48.53150549,19.42574648,-3034.861995,0.001818739748,1,168,11,R134aDet,0
21.67239523,47.24364671,19.08218912,-2996.372377,46.69314207,19.4365238,-2996.467054,0.009058007917,1,167,11,R134aDet,0
21.68170697,46.69314207,19.4365238,-2996.467054,46.68954016,19.55862574,-2996.488721,0.00592206025,1,167,11,R134aDet,0
21.53824655,45.89773737,18.70619714,-2956.180642,45.88636457,18.69648122,-2956.181731,0.001733927344,1,166,11,R134aDet,0
21.33948693,43.9033606,18.1498522,-2896.631092,43.9839786,18.13033535,-2896.634209,0.004725458362,1,165,11,R134aDet,0
21.3106023,43.61349315,18.06906273,-2887.977087,43.63702825,18.03912102,-2887.978649,0.003021928847,1,164,11,R134aDet,0
22.16111788,210.6126627,-780.7286447,-2800,213.1892706,-789.0397751,-2809.011785,0.007259182816,1,441,-11,R134aDet,0
22.20296539,213.1892706,-789.0397751,-2809.011785,215.7475889,-796.9751325,-2817.409116,0.006292392953,1,441,-11,R134aDet,0
22.24249618,215.7475889,-796.9751325,-2817.409116,230.9105981,-840.0340763,-2865.446972,0.03793039435,1,441,-11,R134aDet,0
22.46381152,230.9105981,-840.0340763,-2865.446972,273.6258674,-956.4817886,-3002.102053,0.09741896878,1,441,-11,R134aDet,0
23.07975738,273.6258674,-956.4817886,-3002.102053,281.7860813,-977.845876,-3027.3346,0.02304850678,1,441,-11,R134aDet,0
23.19351093,281.7860813,-977.845876,-3027.3346,282.0990428,-978.683426,-3028.319729,0.0005659343925,1,441,-11,R134aDet,0
23.19795572,282.0990428,-978.683426,-3028.319729,288.7924426,-997.4252106,-3050.089323,0.01528844978,1,441,-11,R134aDet,0
23.29648392,288.7924426,-997.4252106,-3050.089323,291.6092387,-1005.062067,-3058.94349,0.006196984663,1,441,-11,R134aDet,0
23.33666443,291.6092387,-1005.062067,-3058.94349,307.5055407,-1056.437242,-3116.250255,0.04103703788,1,441,-11,R134aDet,0
23.59911763,307.5055407,-1056.437242,-3116.250255,309.9504094,-1063.814002,-3124.538677,0.005005681152,1,441,-11,R134aDet,0
23.63707638,309.9504094,-1063.814002,-3124.538677,328.1710761,-1130.259416,-3195.474319,0.05504725618,1,441,-11,R134aDet,0
23.96728794,328.1710761,-1130.259416,-3195.474319,329.3086251,-1134.510696,-3200,0.003092495804,1,441,-11,R134aDet,0
24.45687941,351.1669282,-1230.341536,-3300,378.8635175,-1352.31433,-3457.788624,0.1085019058,1,441,-11,R134aDet,1
25.12885298,378.8635175,-1352.31433,-3457.788624,381.2528337,-1364.064213,-3473.002057,0.0111524369,1,441,-11,R134aDet,1
25.19356968,381.2528337,-1364.064213,-3473.002057,384.976188,-1385.663203,-3502.467964,0.02534334993,1,441,-11,R134aDet,1
25.31625066,384.976188,-1385.663203,-3502.467964,385.7202622,-1390.979274,-3509.772083,0.006911944638,1,441,-11,R134aDet,1
25.34653724,385.7202622,-1390.979274,-3509.772083,398.306666,-1455.863346,-3604.256205,0.05769730886,1,441,-11,R134aDet,1
25.73156168,398.306666,-1455.863346,-3604.256205,412.0936129,-1519.650669,-3700,0.06350744409,1,441,-11,R134aDet,1
25.73156168,398.306666,-1455.863346,-3604.256205,397.4774198,-1456.049708,-3604.378513,0.007659451177,1,479,11,R134aDet,1
25.74278444,397.4774198,-1456.049708,-3604.378513,397.4115211,-1455.880423,-3604.35632,0.001413477741,1,479,11,R134aDet,1
25.7459394,397.4115211,-1455.880423,-3604.35632,397.5167847,-1455.819902,-3604.458684,0.006800301463,1,479,11,R134aDet,1
25.7459394,397.4115211,-1455.880423,-3604.35632,397.4174354,-1455.892562,-3604.357483,0.001629021049,1,484,11,R134aDet,1
25.34653724,385.7202622,-1390.979274,-3509.772083,385.708385,-1390.976339,-3509.776232,0.001581519452,1,478,11,R134aDet,1
25.31625066,384.976188,-1385.663203,-3502.467964,384.9892548,-1385.665743,-3502.465508,0.0003199779402,1,477,11,R134aDet,1
25.31665905,384.9892548,-1385.665743,-3502.465508,385.0024361,-1385.66674,-3502.434056,0.002832044912,1,477,11,R134aDet,1
25.19356968,381.2528337,-1364.064213,-3473.002057,381.2679476,-1364.064883,-3473.000034,0.001752756445,1,476,11,R134aDet,1
25.12885298,378.8635175,-1352.31433,-3457.788624,378.8192649,-1352.323496,-3457.7921,0.00334349073,1,475,11,R134aDet,1
23.96728794,328.1710761,-1130.259416,-3195.474319,328.3047337,-1129.928379,-3195.825012,0.01281543123,1,474,11,R134aDet,0
23.63707638,309.9504094,-1063.814002,-3124.538677,309.937924,-1063.800069,-3124.556693,0.002413149891,1,473,11,R134aDet,0
23.59911763,307.5055407,-1056.437242,-3116.250255,307.4967293,-1056.43075,-3116.259197,0.001671715638,1,472,11,R134aDet,0
23.33666443,291.6092387,-1005.062067,-3058.94349,291.6266666,-1005.06271,-3058.93868,0.001944536953,1,471,11,R134aDet,0
23.29648392,288.7924426,-997.4252106,-3050.089323,288.8129992,-997.4419773,-3050.070963,0.002740684805,1,470,11,R134aDet,0
23.19795572,282.0990428,-978.683426,-3028.319729,282.0804585,-978.6924115,-3028.319398,0.002105679031,1,469,11,R134aDet,0
23.19351093,281.7860813,-977.845876,-3027.3346,281.8196294,-977.8433179,-3027.328315,0.002837389627,1,468,11,R134aDet,0
23.07975738,273.6258674,-956.4817886,-3002.102053,273.6560518,-956.5190859,-3002.065287,0.003948062869,1,467,11,R134aDet,0
22.46381152,230.9105981,-840.0340763,-2865.446972,230.897629,-840.0186724,-2865.466658,0.00253069491,1,466,11,R134aDet,0
22.24249618,215.7475889,-796.9751325,-2817.409116,215.7498621,-796.9835993,-2817.401017,0.001506002248,1,465,11,R134aDet,0
22.20296539,213.1892706,-789.0397751,-2809.011785,213.1825768,-789.0468671,-2809.007762,0.00139538841,1,464,11,R134aDet,0
21.36356341,-354.9362674,-184.4739192,-2800,-371.8657493,-193.5168371,-2839.358399,0.02292065365,1,589,-11,R134aDet,0
21.50980097,-371.8657493,-193.5168371,-2839.358399,-374.5037834,-194.8068,-2845.07892,0.00312055365,1,589,-11,R134aDet,0
21.53127941,-374.5037834,-194.8068,-2845.07892,-376.2603883,-195.6392925,-2848.861617,0.001859231075,1,589,-11,R134aDet,0
21.54548542,-376.2603883,-195.6392925,-2848.861617,-380.3021974,-197.4734989,-2857.180522,0.004397967179,1,589,-11,R134aDet,0
21.57697992,-380.3021974,-197.4734989,-2857.180522,-383.1014868,-198.8183003,-2863.132182,0.003071600687,1,589,-11,R134aDet,0
21.59940362,-383.1014868,-198.8183003,-2863.132182,-400.3640874,-206.8531315,-2897.975212,0.01929017088,1,589,-11,R134aDet,0
21.73201137,-400.3640874,-206.8531315,-2897.975212,-423.1465738,-216.724803,-2940.323761,0.03299432801,1,589,-11,R134aDet,0
21.89595332,-423.1465738,-216.724803,-2940.323761,-433.208959,-220.296496,-2957.285043,0.008142292882,1,589,-11,R134aDet,0
21.96289649,-433.208959,-220.296496,-2957.285043,-440.7553467,-223.0714036,-2970.065723,0.005444075294,1,589,-11,R134aDet,0
